group,query_id
0,Q008
0,Q009
0,Q017
0,Q045
0,Q055
0,Q069
0,Q070
0,Q079
0,Q085
0,Q086
0,Q100
0,Q102
0,Q105
0,Q109
0,Q112
0,Q113
0,Q114
0,Q121
0,Q130
0,Q134
0,Q135
0,Q138
0,Q147
0,Q153
0,Q163
0,Q166
0,Q169
0,Q176
0,Q177
0,Q187
0,Q188
0,Q190
0,Q195
0,Q196
0,Q197
0,Q206
0,Q207
0,Q216
0,Q219
0,Q222
0,Q223
0,Q230
0,Q238
0,Q240
0,Q242
0,Q243
0,Q244
0,Q246
0,Q247
0,Q259
0,Q261
0,Q262
0,Q263
0,Q265
0,Q273
0,Q274
0,Q282
0,Q284
0,Q287
0,Q289
0,Q291
0,Q293
0,Q296
0,Q297
0,Q300
0,Q306
0,Q310
0,Q320
0,Q323
0,Q326
0,Q328
0,Q330
0,Q332
0,Q334
0,Q339
0,Q340
0,Q341
0,Q342
0,Q348
0,Q349
0,Q351
0,Q355
0,Q361
0,Q367
0,Q369
0,Q372
0,Q388
0,Q398
1,Q068
1,Q074
1,Q094
1,Q097
1,Q104
1,Q106
1,Q127
1,Q132
1,Q139
1,Q156
1,Q161
1,Q168
1,Q232
1,Q255
1,Q303
1,Q325
1,Q357
1,Q383
1,Q389
2,Q141
2,Q218
2,Q269
3,Q010
3,Q024
3,Q031
3,Q042
3,Q051
3,Q072
3,Q078
3,Q084
3,Q179
3,Q180
3,Q181
3,Q185
3,Q189
3,Q254
3,Q294
3,Q362
3,Q377
3,Q379
3,Q385
3,Q399
4,Q030
4,Q037
4,Q046
4,Q057
4,Q081
4,Q101
4,Q108
4,Q144
4,Q159
4,Q173
4,Q192
4,Q248
4,Q271
4,Q380
4,Q400
5,Q029
5,Q203
5,Q251
6,Q066
6,Q225
7,Q003
7,Q014
7,Q028
7,Q033
7,Q038
7,Q041
7,Q087
7,Q119
7,Q123
7,Q152
7,Q211
7,Q220
7,Q231
7,Q272
7,Q313
7,Q316
7,Q378
7,Q394
8,Q004
8,Q058
8,Q061
8,Q151
8,Q209
8,Q318
8,Q353
8,Q368
8,Q386
9,Q005
9,Q012
9,Q047
9,Q059
9,Q145
9,Q208
9,Q233
9,Q268
9,Q278
10,Q080
10,Q125
10,Q270
10,Q301
10,Q327
10,Q329
10,Q384
11,Q082
11,Q137
11,Q199
11,Q302
12,Q043
12,Q049
12,Q088
12,Q092
12,Q122
12,Q124
12,Q133
12,Q170
12,Q182
12,Q212
12,Q214
12,Q226
12,Q373
12,Q376
13,Q021
13,Q025
13,Q039
13,Q071
13,Q142
13,Q191
13,Q250
13,Q283
13,Q288
13,Q290
13,Q336
13,Q364
13,Q391
14,Q143
14,Q264
14,Q276
15,Q015
15,Q062
15,Q099
15,Q235
16,Q007
16,Q035
16,Q089
16,Q149
16,Q160
16,Q175
16,Q205
16,Q241
16,Q252
16,Q275
16,Q285
16,Q298
16,Q299
16,Q331
16,Q352
16,Q354
16,Q392
17,Q016
17,Q022
17,Q036
17,Q067
17,Q103
17,Q111
17,Q165
17,Q178
17,Q337
17,Q356
17,Q396
18,Q044
18,Q107
18,Q322
18,Q370
19,Q118
19,Q120
19,Q136
19,Q224
19,Q258
19,Q324
19,Q345
19,Q371
20,Q076
20,Q162
20,Q315
21,Q002
21,Q011
21,Q083
21,Q148
21,Q174
21,Q186
21,Q215
21,Q260
21,Q286
21,Q308
21,Q390
21,Q393
22,Q023
22,Q040
22,Q063
22,Q167
22,Q193
22,Q217
22,Q227
22,Q267
22,Q346
23,Q050
23,Q171
23,Q311
24,Q006
24,Q129
25,Q117
25,Q184
25,Q201
26,Q131
26,Q234
26,Q381
27,Q075
27,Q317
27,Q363
28,Q110
28,Q202
28,Q213
29,Q060
29,Q128
29,Q204
30,Q154
30,Q295
31,Q095
31,Q116
32,Q194
32,Q253
33,Q073
33,Q307
34,Q164
34,Q335
