k,silhouette,gsc_easy,gsc_medium,gsc_hard,gsc_overall
8,0.22538527846336365,0.95,0.95,0.75,0.8833333333333333
10,0.2443476915359497,0.95,0.85,0.8,0.8666666666666667
12,0.2771664261817932,0.95,0.95,0.8,0.9
15,0.29341939091682434,0.9,0.9,0.8,0.8666666666666667
18,0.2886665165424347,0.95,0.95,0.8,0.9
20,0.28661540150642395,0.95,0.9,0.8,0.8833333333333333
25,0.2813488841056824,0.95,0.9,0.6,0.8166666666666667
30,0.25709453225135803,1.0,0.85,0.4,0.75
35,0.2742501497268677,0.9,0.75,0.5,0.7166666666666667
40,0.24533817172050476,0.95,0.85,0.3,0.7
50,0.24599005281925201,0.9,0.8,0.3,0.6666666666666666
